IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
qˤʰ	D5F8E8D44EE9ED8F6891D5B6C0D133C4	c-c-c	consonant	-		-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-	+		-	-	+	-		-	-			-
ɢǀ	D5FFAAE4EFE13F12B1A8C275EE5E0BF9	c-c	consonant		+	-	+	+	+	-	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɳɖɽ	D6199871315DB4C7DA77F9C21A0D3088	c-c-c	consonant		-	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	+,-,-	+	-			-	+,-,+	-	-	-	-	-,+			-
oːu	D62D9C3288E824A325CA541EFE6E22B9	v-d-v	vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
kxʼː	D63BDDD32106D86DEF285271FD0C818B	c-c-c-d	consonant			-	-	-	+	+	-	-	+		+	-	-	-	+	-		-	+	-	-	-	-	+			-	-	-	-		-	-			-
ɤ̃ː	D63E2B7DC85B9CA193B32D7719103076	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ɜi	D6583CDB585C6532D187D8E1F2209583	v-v	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-,+		-
nʰ	D65EBBAFD34504CB6774F0BDBA8A6448	c-c	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	+	-	-	-	-			-
ʈʰː	D6C9AF19B52E18F6599F665619291913	c-c-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	-	-			-	-	+	-	-	-	-			-
dⁿ	D708CE8E888D79930D5BA282ED3B0BE9	c-d	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-,+	+	-			-	-	-	-	-	-	-			-
n̠̩d̠ʒ	D70EEBEEBB14E4D1AD8CE8A5F70C2355	c-d-d-c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-	-	+	+	-			-
d̤ɮ̤	D71DE3568C44D840C55E269C432DC0BE	c-d-c-d	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		+	-		-	-	+	-			-	-	+	-	-	-	-			-
d̠ʒxʼ	D71ECB7B545A7BF4CA978748AA27B830	c-d-c-c-c	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	+	+			-	-	-	-	+	-	-			-
lˤː	D74D52810EF2CA763D517469961BD741	c-c-d	consonant	-	+	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-	+		-	+	-	-	-	-	-			-
æ̤ː	D7538776DCDD173047F404B8BFEFF0F2	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	-	+	-	-		-	+	+	-		+	-			-
ŋʷː	D770033D4FF8264FD2AA8561C24D90EC	c-d-d	consonant																																					
iː	D7A90868F42885077FD3F44A8440B3BB	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɡʘqʰ	D7CBF17D3DF21B4045955654AE489C9E	c-c-c-c	consonant			-	-	+	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		-	-	-	+	-		-	-			-
ŋ̥ǃ̠ʰ	D7E597AD952E53C46618F87F22CB2738	c-d-c-d-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
ɔ̝ː	D7E5CA5B795D0701B013BE4EDA6D00E0	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɡ̰	D7F695B965428327AEFBF2D881644393	c-d	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
kǀʰ	D83A55C0046BF5DD0D78348F0A650A28	c-c-c	consonant		+	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
ɻʲ	D85C32B55C736D7FD569892A08C0D460	c-d	consonant		-	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	-			-
ʒʷ	D85E3F93860FAF970C688925D4C69031	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			+		-	-		-	-	+	-		+	-	-	-	-	+	-	-			-
ɘ̃	D86D0E4D596E27EE93E7F9D3EB2B987F	v-c	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ɛɪ	D88952FBA8FEA77D3222AE65828CB6C8	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
nr	D8BA4CA3FEC4DBA428F4C21C9833134C	c-c	consonant		+	-,+		-	+	-	-,+	+		-	-	-	-			-		-	-		-	+,-	+	-			-	+	-	-	-	-	-			-,+
a̤ː	D8D90F1D532EF3F97A790D44138CD84F	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		-	+	+	-		+	-			-
˦˨	D90087B832A91083C733048A0EA8614B	t-t	tone																																				+	
ɫ	D926DA3DF32136EB5051F2749BFA976F	c	consonant		+	+	+	-	+	-	+	+		-	+	-	-	-	-	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
t͉s	D9315A72651036C23D2CBBCDA259895D	c-d-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̪s̪ʼː	D93667D28E2FD5F79EB94F008C2702D2	c-d-c-d-c-d	consonant		+	-		-	+	+	-	+	+	+	-	-	-			-		-	+		-	-	-	+			-	-	-	-	+	-	-			-
ɗ̪	D93B0AE5C9336143964A05130227B2B1	c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		+	-	+	-			-	-	-	-	-	-	-			-
ŋʘ	D9495231BE4C8F383909D8BD4A247DA0	c-c	consonant			-	-	+	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	+	+	-		-	-	-	-	-		-	-			-
ei̙	D94A17EE63AF5A3C6B4CFE174C8E5B80	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	+		-
p̪	D98157DC62EC6E0A10A29E4F4BB17796	c-d	consonant		+	-		-	+	-	-	-	-	+	-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
d̠	D9A1F3786F5DE62FA2ECECBF2036BCBB	c-d	consonant		-	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ə	D9B28B2D674EBA4B03C38B36D77E563E	v	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ie	D9EA6EC983D8DB08D5DD6543894DDEF7	v-v	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
t̪ʃ	DA1544BCB40989B50CDD3B6A1E0CD964	c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɡbʷ	DA158A4CB640860782B1594AA69564BF	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ɡbː	DA4BC7BF5877FA3F9E71A280F3D2CFAA	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	+	-	-	-	+	-		-	-	-	-	-		-	-			-
pː	DAA293A200C8597396725116EC9D5654	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	-	-		-	-	-	-	-		-	-			-
ɪː	DABE61684BBEAC7732AD8B3A97CF8701	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ʒ	DAC6AC8BCA2D24EFF188A7129D280801	c	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ṳˑ	DACEB5021CB7A013E75D136205842228	v-d-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-		+	-	+		-
ɻː	DAFDF6833A9D558A0BA8C2392A04F0FE	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-			-	+	-	-	-	-	-			-
ɣ̥	DB1471B8C7C250E315F8FAC094C8780F	c-d	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
ɣˀ	DB1471B8C7C250E315F8FAC094C8780F	c-d	consonant			-	-	-	+	+	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
m̩	DB153A5121319488364F7931B81817A5	c-d	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		+	-			-
ʰʃ	DB356ECB94B1FC015C0ABAF693AA0196	c-c	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
β̃	DB4ADEF4B06752C923EFABC2DE64EC68	c-c	consonant			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	+	+	-		-	-	-	-	-		-	-			-
n̪̰	DB6274FB601B55BFD4477D17990EAB20	c-d-d	consonant		+	-		-	+	+	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ɡǃǃ	DB6605EA4E285BED19BDF628D637CF0D	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
t̪s̪ʼ	DB7328D75BC8D9264B5D7AD424130B32	c-d-c-d-c	consonant		+	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
ɤ̞	DB9C67BAD28666FD362FC2951B2B4C94	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
˧˩	DBDD8C133D89E28B198B5E05FEC8077E	t-t	tone																																				+	
dʰ	DBED9DB479620441E03A12BD24F52B18	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	-	-	-			-
n̤	DBF19273A36B35FFE4DF7AB307D39476	c-d	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	+	-	-	-	-			-
o̯	DC0F6A9A56697A84C36C0DD913DE1529	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-	-	+		-
ɡǃǃx	DC19549AF347420D5D28980EEAB1F65B	c-c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
˩̰	DC360FCD2919CADF7D326367357FE34F	t-d	tone							+																							-						+	
i̤a	DC84F172ADE95CBC79BFA5140C1ED24B	v-d-v	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	+	-		+	-	+		-
iaː	DC8986B9A97174C60B6373447D383885	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	+	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-
a̙	DCA7A1B83757478F9089C537B5CF978C	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	+		-	+	-	-		+	-			-
mbʷ	DCA95603F25D35DC7849C173B1B63642	c-c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	+,-	+	-		+	-	+,-	-	-		-	-			-
ʰkʷ	DD18D066023AB867555D13CC457D2D40	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	+	-		-	-			-
sˀ	DD5AC972AA6EBDDB1B890BCF3B8C3454	c-c	consonant		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̪s	DD628962F443ED17B83A067A937969D4	c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
θ̰	DDA0D577D04FDFE70744C7A8ADC67318	c-d	consonant		+	-		-	+	+	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
pʷˠː	DE19DEF65BC0325A86B6FED17F034F87	c-d-d-d	consonant																																					
˦˧	DE362E91BCFDF93B18013D47106E2842	t-t	tone																																				+	
ᶑː	DE3AF5FED0223AF5388FC373F6EDB785	c-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	+		+	-	+	-			-	-	-	-	-	-	-			-
ɺ̪	DE49D449C16655416E70655BC8BC8F78	c-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	+			-
a̤	DE727911EDC074239FD740BFC5561155	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	+	-		+	-			-
ɛ̙	DE74BCB3E51F0C966050D7B4CE88D022	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	-		-
t̪ʲ	DE9C56A9190A6F8A5C54988BE6CE27BB	c-d-d	consonant		+	-	+	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
kʲʼ	DECBDF50EB1C53E9D28098C30225B28D	c-d-c	consonant			-	+	-	+	+	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
ʒ̤	DEE22EDCF6DDF2EE8E2F720715C1CCDB	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
ɔɪ	DEF247198EF5402D9A41DEA3CDA35D2C	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɡ̃	DEFC1A362A9588B213716358F154680C	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	-	-		-	-			-
sˠ	DF1C4BB6D5D67AF07427900EB81EF244	c-d	consonant		+	-	+	-	+	-	+	+	+	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
˧˨	DF21894A34BE9B1F8074827DEF536BCD	t-t	tone																																				+	
ae̞ˤ	DF25A30FB876C25616AF57CCD704D926	v-v-d-c	vowel	-		+	-		-	-	+	-			+	-		-,+	-	-		-	-	+,-	-	-	+	-	+		-	+	-	-		+	-	+		-
kǂʰ	DF2E866E216C48A5A955F0060CD4697F	c-c-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
t̪ˠʰ	DF448B7B2AEAADF0D5F2B03DFE599F2C	c-d-d-c	consonant		+	-	+	-	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
õ	DF648A2DB863191981CA66654BFF6BF4	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
nˤː	DF6515CB6CD2B041164693E9D7943665	c-c-d	consonant	-	+	-		-	+	-	-	+		-	-	-	-			-		-	+		-	+	+	-	+		-	+	-	-	-	-	-			-
i̞ː	DF8ADB9A85266733640738D2E5B01A06	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ŋʲ	DFD392B430413506C32FC788576CF5F2	c-d	consonant			-	+	-	+	-	-	-			+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
qχʼ	DFD4C33AE8EDC996AE9601F1F3032D40	c-c-c	consonant			-	+	-	+	+	-	-	+		+	-	-	-	-	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
ʔʲ	DFE30B989816F70CE8FE6D836F517A3A	c-d	consonant			-	+	-	+	+	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ɨ̞	DFEC131FB4D1815CFDF85CD1341D4538	v-d	vowel	-		+	-		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
˧˩̰	E011FDAB9EA6316743EEA2DB343D2502	t-t-d	tone							+																							-						+	
tsʷʼ	E0225FB09FFBFA34B51CC222B4363819	c-c-d-c	consonant		+	-		-	+	+	-	+	+	-	-	-	-			+		-	-		-	-	-	+		+	-	-	-	-	+	-	-			-
iẽ	E0229529ADE2EFBC6AB1E3B65854E5B1	v-v-c	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
n	E03DA215BAB0A158BA5D1CB5C4D5D6FD	c	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ɘː	E07CB8481F97B28F2D631830F02B51F0	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ŋ̥ǃ	E08C7EDE7B5C3AC813DB60C151249E9F	c-d-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
ɛː	E12BC6D5BBF9272E866810A376DEEF52	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
uei	E13708CF8615C7578CC53E33EADAA4DC	v-v-v	vowel	-		+	+,-,-		-	-	+	-			+	-		-,+,+	+,-,+	+,-,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɠɓ	E194642955119ED3EF3897897619B0FD	c-c	consonant			-	-	-	+	-	-	-	-		+,-	-	-	-	+	-,+	-	-	-	-	+	-	+	-		-	-	-	-	-		-	-			-
t̠	E1E0A66A7019DAB26B423051648216D0	c-d	consonant		-	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ɾʰ	E1E72382A7477B29F23EF4FB98222F67	c-c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	+			-
qχʼː	E1EA5FE80159EB4D5752AEF98E16230F	c-c-c-d	consonant			-	+	-	+	+	-	-	+		+	-	-	-	-	-		-	+	-	-	-	-	+			-	-	-	-		-	-			-
oɛ	E1EA79B367C6D18C29B9D93F3EE5D8EF	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
kx	E1F8DD5414F4043E63E615EB170BA295	c-c	consonant			-	-	-	+	-	-	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
r̰	E281D289A9BA3AE387248EA94CA530BB	c-d	consonant		+	+		-	+	+	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
ieː	E290EB757F229A5A23F6DF859F3B034A	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɴɢ	E2A5506BACC1D46158CC033B76BF8D68	c-c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
ŋ̥ǁ͓ʰ	E2A59985133A0CC7E70A6D6B7606545F	c-d-c-d-c	consonant		+	-	-	+	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
ɖ̤ː	E2C0873EDA42AABD4EAA9C6367549996	c-d-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-			-	-	+	-	-	-	-			-
ɭ̥	E31F30626CFDAD792E73B8C4611707A9	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	-	-			-	+	+	-	-	-	-			-
vʲ	E329A7B64222ED9FB9BD784636512300	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
ŋkʼ	E35E253476AD8FF59AE378C9E876C364	c-c-c	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+,-	+			-	+,-	-	-		-	-			-
jɔ	E3DD23448370086E51FC41FA40CD3C99	c-v	consonant	-		+	-,+	-	-	-	+	-			+	-	-	+,-	+,-	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-,+	-	+,-		-
ɭ̩	E4146AE561EDE3F4ADBACD61AC62F43A	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	+	-			-
tsʰʷ	E42D1DF16C6D3C3F02243B9220DDF54C	c-c-c-d	consonant		+	-		-	+	-	-	+	+	-	-	-	-			+		-	-		-	-	-	-		+	-	-	+	-	+	-	-			-
s̰	E4543A4724B65B05D17F8D69B0FDEC53	c-d	consonant		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ŋ̥ǂʰ	E460D6DF8713DF2CBDDC12402AE0222E	c-d-c-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	+	-	-	-	-			-
ʔʷ	E473B50B2D71F773C5CA69249A005329	c-d	consonant			-		-	+	+	-	-	-		-	-	-			+		-	-		-	-	-	-		+	-	-	-	-		-	-			-
s̪ʷː	E4D13D190E62FE97C272BBCAEF4162A5	c-d-d-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			+		-	+		-	-	-	-		+	-	-	-	-	+	-	-			-
ˀnʘ	E4E3691D9801315E6F4EA76CC1F87EB7	c-c-c	consonant																																					
ɒ̃	E4E4B517DAB38211A476158473D54981	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-		+	-			-
ɢǂ	E50B81373E9C0D6CB8653A460A0B936D	c-c	consonant		-	-	+	+	+	-	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ʉː	E512600ACE40F33F7F40F6DB29C3760B	v-d	vowel	-		+	-		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
io	E53BB4E24B84CEEB772C3F28E5C6207F	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɑ̃ɔ̃	E5596DFE1E33FBDF96BD834CD7C5C05E	v-c-v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	-,+	-	-	-	+,-	-	+	+	-	-	+	-	+	-	-		+	-	-		-
æ̞̃	E56425E977B5D58A6616F1E59B463073	v-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
qʷː	E59AECC097F480E25AFC349FD3C8176B	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	+		-	+	-	-	-	-	-		+	-	-	-	-		-	-			-
ʕ̝	E5B4BF07339E14707451EDCF7BFF2596	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	+	-	-	+	-			-	-	-	-		-	-			-
l̪ʲ	E5E7941D03C1A1122781B44E236A17E0	c-d-d	consonant		+	+	+	-	+	-	+	+		+	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
ʏ	E5FFAC40D2833CD8D510BB9907413E4F	v	vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɱ	E61654B85E72EDDB4ADA812B48BA9452	c	consonant			-		-	+	-	-	-			-	-	-			+	+	-	-		-	+	+	-		-	-	+	-	-		-	-			-
d	E6253384902D489FDB1FE487B7ED4AB2	c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ŋk	E627208937A56F5A8C1A5994DE4D9C8A	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+,-	-			-	+,-	-	-		-	-			-
ou̙	E6421867CF67C01F6DAF22CB5DA9DCAD	v-v-d	vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	+		-
ɡǀ͓x	E64369110C01B387CB216236ECA23FE6	c-c-d-c	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɔ̯	E68B55248B5A4311EF5CA23F3075D112	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-	-	-		-
aɯ	E6B424B5DCAE7554EF762BE5F76E64CD	v-v	vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɡ̤ǂ͓ˡ	E6FA997644227E79004237DCE8202730	c-d-c-d-d	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	-	+	-			-	-	+	-	-	-	-			-
d̤z̤	E71D05DAE9183616F7C76565B16DBA98	c-d-c-d	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
ɛ̃ə	E747AF5A355FD6163EEDD67902F8B6F5	v-c-v	vowel	-		+	-		-	-	+	-			+	-		+,-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
qχˤʼ	E76D030C41219EF10F344F17DD6365D7	c-c-c-c	consonant	-		-	+	-	+	+	-	-	+		+	-	-	-	-	-		-	-	-	-	-	-	+	+		-	-	-	-		-	-			-
z	E77FDA2EAABA78B3E55A968B2257CF26	c	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɲcʼ	E79AD25CAE74F203E8974F29F9137523	c-c-c	consonant		-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-		-	-	-	-	+,-	+,-	+			-	+,-	-	-	-	-	-			-
hʼ	E7A1A28F4CD284AA9A5177D49563942E	c-c	consonant			-		-	-	+	+	-	+		-	-	-			-		-	-		-	-	-	+			-	-	-	-		-	-			-
w̤	E7D44037B3BAB7EEF6D9FBB37ED643D3	c-d	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	+	-		-	-	+		-
